HomeTeamWinner,AwayTeamWinner,HomeTeamPoints,AwayTeamPoints
0,1,71,81
0,1,69,85
0,1,58,77
0,1,66,80
1,0,89,83
1,0,90,87
0,1,57,80
0,1,67,96
0,1,67,74
1,0,97,75
0,1,69,83
0,1,83,93
1,0,84,80
1,0,78,76
1,0,77,70
1,0,81,69
1,0,82,75
1,0,67,62
0,1,74,82
1,0,82,79
0,1,63,83
0,1,86,92
1,0,92,80
1,0,76,71
0,1,67,76
0,1,92,95
0,1,78,91
1,0,92,90
0,1,77,83
1,0,75,73
1,0,94,82
0,1,80,83
0,1,63,82
1,0,81,74
0,1,93,95
1,0,69,66
0,1,72,88
0,1,78,87
1,0,82,59
1,0,98,95
1,0,84,71
0,1,65,101
0,1,72,99
0,1,62,77
1,0,99,91
0,1,77,91
1,0,90,85
1,0,86,80
0,1,76,85
1,0,74,71
1,0,85,75
1,0,96,88
1,0,89,87
0,1,77,80
0,1,71,73
1,0,76,64
0,1,90,99
0,1,57,78
0,1,70,82
0,1,75,78
1,0,92,83
1,0,77,73
0,1,73,88
1,0,81,75
1,0,75,63
0,1,77,85
1,0,88,77
1,0,103,96
0,1,76,85
1,0,90,88
0,1,83,94
1,0,84,76
0,1,73,76
1,0,96,71
0,1,76,88
0,1,80,94
1,0,98,92
0,1,68,84
0,1,78,81
0,1,77,81
1,0,89,81
1,0,81,62
0,1,61,86
1,0,89,87
1,0,83,78
0,1,76,89
0,1,79,94
0,1,66,81
0,1,58,92
0,1,72,86
0,1,78,90
0,1,76,96
0,1,76,89
1,0,82,79
1,0,85,63
0,1,78,88
0,1,70,78
0,1,68,70
0,1,75,87
0,1,64,77
0,1,77,89
0,1,69,79
1,0,102,90
1,0,87,79
0,1,65,77
0,1,70,84
1,0,84,75
0,1,61,73
0,1,61,62
0,1,84,87
0,1,92,93
0,1,86,88
0,1,67,74
0,1,97,108
0,1,93,101
0,1,81,86
1,0,83,72
0,1,72,74
0,1,102,115
1,0,85,83
0,1,60,75
0,1,91,98
0,1,77,86
1,0,91,79
0,1,72,77
0,1,56,82
0,1,67,84
0,1,82,87
0,1,61,79
0,1,84,92
0,1,93,95
0,1,77,80
0,1,78,82
0,1,94,95
0,1,90,93
0,1,52,89
1,0,83,81
0,1,78,82
0,1,69,91
1,0,82,70
1,0,110,107
1,0,79,71
1,0,106,105
1,0,99,89
0,1,56,88
0,1,76,79
0,1,62,81
1,0,84,79
1,0,78,70
0,1,78,83
0,1,73,82
0,1,60,76
1,0,86,79
0,1,89,105
0,1,78,99
1,0,87,79
0,1,73,99
0,1,74,81
1,0,79,76
0,1,75,85
0,1,91,103
1,0,72,68
1,0,78,74
1,0,88,82
1,0,90,86
0,1,65,84
1,0,100,92
0,1,78,88
1,0,75,70
1,0,83,78
1,0,84,76
1,0,91,82
0,1,73,93
0,1,62,80
0,1,66,92
1,0,83,72
0,1,58,87
0,1,71,85
0,1,76,108
0,1,75,98
0,1,75,77
0,1,79,94
0,1,76,86
0,1,73,88
0,1,74,89
0,1,71,87
1,0,87,72
0,1,81,84
0,1,78,87
0,1,82,84
0,1,78,90
1,0,82,67
1,0,94,60
1,0,88,72
0,1,83,99
0,1,65,71
0,1,80,98
0,1,88,91
0,1,82,97
0,1,81,92
0,1,69,88
1,0,97,92
0,1,78,82
0,1,79,97
0,1,76,87
0,1,81,86
1,0,90,82
0,1,85,98
0,1,67,83
0,1,102,105
1,0,75,70
1,0,83,64
0,1,91,98
1,0,86,79
0,1,70,82
0,1,72,87
0,1,81,88
0,1,73,75
1,0,78,77
0,1,87,94
0,1,71,94
0,1,67,79
0,1,104,109
1,0,73,66
1,0,65,61
1,0,103,96
1,0,85,83
1,0,78,74
0,1,62,84
0,1,80,85
0,1,105,108
0,1,69,84
0,1,69,84
1,0,86,71
1,0,88,78
0,1,72,85
0,1,78,85
1,0,92,71
1,0,79,77
0,1,65,80
0,1,77,82
1,0,93,84
0,1,76,80
0,1,87,95
0,1,88,91
0,1,69,81
0,1,80,86
